id_match,home_team,away_team,home_result,away_result,result,date,round,city,edition
176,Portugal,Austria (Österreich),0.0,0.0,draw,1953-01-01,PRELIMINARY-Europe,Lisboa,1953
177,Romania (România),Bulgaria (България),3.0,1.0,Romania (România),1953-01-01,PRELIMINARY-Europe,Bucureşti,1953
178,Romania (România),Czechoslovakia (Československo),0.0,1.0,Czechoslovakia (Československo),1953-01-01,PRELIMINARY-Europe,Bucureşti,1953
179,Saarland,Norway (Norge),0.0,0.0,draw,1953-01-01,PRELIMINARY-Europe,Saarbrücken,1953
180,Scotland,Wales (Cymru),3.0,3.0,draw,1953-01-01,PRELIMINARY-Europe,Glasgow,1953
181,Sweden (Sverige),Belgium (België),2.0,3.0,Belgium (België),1953-01-01,PRELIMINARY-Europe,Stockholm,1953
182,Sweden (Sverige),Finland (Suomi),4.0,0.0,Sweden (Sverige),1953-01-01,PRELIMINARY-Europe,Stockholm,1953
183,Wales (Cymru),England,1.0,4.0,England,1953-01-01,PRELIMINARY-Europe,Cardiff,1953
184,Yugoslavia (Југославија),Greece (Ελλάδα),1.0,0.0,Yugoslavia (Југославија),1953-01-01,PRELIMINARY-Eur./N.E.,Beograd,1953
185,Yugoslavia (Југославија),Israel (ישראל),1.0,0.0,Yugoslavia (Југославија),1953-01-01,PRELIMINARY-Eur./N.E.,Skopje,1953
186,Brazil (Brasil),Chile,1.0,0.0,Brazil (Brasil),1954-01-01,PRELIMINARY-S.America,Rio de Janeiro,1954
187,Brazil (Brasil),Paraguay,4.0,1.0,Brazil (Brasil),1954-01-01,PRELIMINARY-S.America,Rio de Janeiro,1954
188,Chile,Brazil (Brasil),0.0,2.0,Brazil (Brasil),1954-01-01,PRELIMINARY-S.America,Santiago,1954
189,Chile,Paraguay,1.0,3.0,Paraguay,1954-01-01,PRELIMINARY-S.America,Santiago,1954
190,FRG (BRD / Westdeutschland),Austria (Österreich),6.0,1.0,FRG (BRD / Westdeutschland),1954-01-01,1/2_FINAL,Basel,1954
191,FRG (BRD / Westdeutschland),Hungary (Magyarország),3.0,2.0,FRG (BRD / Westdeutschland),1954-01-01,_FINAL,Bern,1954
