id_match,home_team,away_team,home_result,away_result,result,date,round,city,edition,edition_year,is_placeholder_date,home_team_id,away_team_id
89,United States,Mexico,4.0,0.0,United States,1937-01-01,PRELIMINARY-Europe,Rotterdam,1950-BRAZIL,1950,True,236,151
90,Wales,England,3.0,2.0,Wales,1937-01-01,PRELIMINARY-Europe,Oslo,1950-BRAZIL,1950,True,245,79
91,Yugoslavia,France,4.0,0.0,Yugoslavia,1937-01-01,PRELIMINARY-Europe,Warszawa,1950-BRAZIL,1950,True,248,90
92,Yugoslavia,France,7.0,2.0,Yugoslavia,1937-01-01,PRELIMINARY-Europe,Stockholm,1950-BRAZIL,1950,True,248,90
93,Yugoslavia,Israel,4.0,0.0,Yugoslavia,1937-01-01,PRELIMINARY-Europe,Stockholm,1950-BRAZIL,1950,True,248,120
94,Brazil,Mexico,4.0,0.0,Brazil,1950-06-24,Group,Rio de Janeiro,1950-BRAZIL,1950,False,33,151
95,England,Chile,2.0,0.0,England,1950-06-25,Group,Rio de Janeiro,1950-BRAZIL,1950,False,79,48
96,Sweden,Italy,3.0,2.0,Sweden,1950-06-25,Group,Sao_Paulo,1950-BRAZIL,1950,False,215,121
97,Yugoslavia,Switzerland,3.0,0.0,Yugoslavia,1950-06-25,Group,Belo Horizonte,1950-BRAZIL,1950,False,248,216
98,Brazil,Switzerland,2.0,2.0,draw,1950-06-28,Group,Sao_Paulo,1950-BRAZIL,1950,False,33,216
99,Yugoslavia,Mexico,4.0,1.0,Yugoslavia,1950-06-28,Group,Porto_Alegre,1950-BRAZIL,1950,False,248,151
100,Spain,Chile,2.0,0.0,Spain,1950-06-29,Group,Rio de Janeiro,1950-BRAZIL,1950,False,210,48
101,Sweden,Paraguay,2.0,2.0,draw,1950-06-29,Group,Curitiba,1950-BRAZIL,1950,False,215,176
102,Brazil,Yugoslavia,2.0,0.0,Brazil,1950-07-01,Group,Rio de Janeiro,1950-BRAZIL,1950,False,33,248
103,Italy,Paraguay,2.0,0.0,Italy,1950-07-02,Group,Sao_Paulo,1950-BRAZIL,1950,False,121,176
104,Spain,England,1.0,0.0,Spain,1950-07-02,Group,Rio de Janeiro,1950-BRAZIL,1950,False,210,79
105,Switzerland,Mexico,2.0,1.0,Switzerland,1950-07-02,Group,Porto_Alegre,1950-BRAZIL,1950,False,216,151
106,Uruguay,Bolivia,8.0,0.0,Uruguay,1950-07-02,Group,Belo Horizonte,1950-BRAZIL,1950,False,238,29
107,Brazil,Sweden,7.0,1.0,Brazil,1950-07-09,FINAL_ROUND,Rio de Janeiro,1950-BRAZIL,1950,False,33,215
108,Uruguay,Spain,2.0,2.0,draw,1950-07-09,FINAL_ROUND,Sao_Paulo,1950-BRAZIL,1950,False,238,210
109,Brazil,Spain,6.0,1.0,Brazil,1950-07-13,FINAL_ROUND,Rio de Janeiro,1950-BRAZIL,1950,False,33,210
110,Uruguay,Sweden,3.0,2.0,Uruguay,1950-07-13,FINAL_ROUND,Sao_Paulo,1950-BRAZIL,1950,False,238,215
111,Sweden,Spain,3.0,1.0,Sweden,1950-07-16,FINAL_ROUND,Sao_Paulo,1950-BRAZIL,1950,False,215,210
112,Uruguay,Brazil,2.0,1.0,Uruguay,1950-07-16,FINAL_ROUND,Rio de Janeiro,1950-BRAZIL,1950,False,238,33
113,Finland,Sweden,1.0,0.0,Finland,1938-01-01,PRELIMINARY-Eur./N.E,Athina,1954-SWITZERLAND,1954,True,89,215
114,France,Ireland,11.0,1.0,France,1938-01-01,PRELIMINARY-Eur./N.E,Budapest,1954-SWITZERLAND,1954,True,90,118
115,Greece,Israel,1.0,3.0,Israel,1938-01-01,PRELIMINARY-Eur./N.E,Tel Aviv,1954-SWITZERLAND,1954,True,99,120
116,FRG,Saarland,1.0,1.0,draw,1938-01-01,PRELIMINARY-Europe,Antwerpen,1954-SWITZERLAND,1954,True,86,187
117,Finland,Belgium,6.0,0.0,Finland,1938-01-01,PRELIMINARY-Europe,Praha,1954-SWITZERLAND,1954,True,89,25
118,France,Luxembourg,2.0,3.0,Luxembourg,1938-01-01,PRELIMINARY-Europe,Luxembourg,1954-SWITZERLAND,1954,True,90,140
119,Haiti,Mexico,2.0,1.0,Haiti,1938-01-01,PRELIMINARY-Europe,Milano,1954-SWITZERLAND,1954,True,109,151
120,Ireland,France,1.0,0.0,Ireland,1938-01-01,PRELIMINARY-Europe,Beograd,1954-SWITZERLAND,1954,True,118,90
121,FRG,Austria,6.0,0.0,FRG,1949-01-01,PRELIMINARY-Eur./N.E,Beograd,1954-SWITZERLAND,1954,True,86,16
122,FRG,Turkey,1.0,1.0,draw,1949-01-01,PRELIMINARY-Eur./N.E,Beograd,1954-SWITZERLAND,1954,True,86,227
123,FRG,Yugoslavia,3.0,2.0,FRG,1949-01-01,PRELIMINARY-Eur./N.E,Firenze,1954-SWITZERLAND,1954,True,86,248
124,Hungary,South Korea,7.0,0.0,Hungary,1949-01-01,PRELIMINARY-Eur./N.E,Ankara,1954-SWITZERLAND,1954,True,112,207
125,Norway,FRG,1.0,1.0,draw,1949-01-01,PRELIMINARY-Eur./N.E,Paris,1954-SWITZERLAND,1954,True,170,86
126,Romania,Bulgaria,2.0,5.0,Bulgaria,1949-01-01,PRELIMINARY-Eur./N.E,Tel Aviv,1954-SWITZERLAND,1954,True,184,36
127,Mexico,Haiti,9.0,2.0,Mexico,1949-01-01,PRELIMINARY-Europe,Manchester,1954-SWITZERLAND,1954,True,151,109
128,Northern Ireland,Scotland,1.0,1.0,draw,1949-01-01,PRELIMINARY-Europe,Helsinki,1954-SWITZERLAND,1954,True,169,195
129,Norway,Saarland,3.0,0.0,Norway,1949-01-01,PRELIMINARY-Europe,Dublin,1954-SWITZERLAND,1954,True,170,187
130,Portugal,Austria,1.0,3.0,Austria,1949-01-01,PRELIMINARY-Europe,Dublin,1954-SWITZERLAND,1954,True,180,16
131,Romania,Czechoslovakia,2.0,3.0,Czechoslovakia,1949-01-01,PRELIMINARY-Europe,Luxembourg,1954-SWITZERLAND,1954,True,184,60
132,Sweden,Belgium,2.0,8.0,Belgium,1949-01-01,PRELIMINARY-Europe,Belfast,1954-SWITZERLAND,1954,True,215,25
133,Sweden,Finland,2.0,0.0,Sweden,1949-01-01,PRELIMINARY-Europe,Glasgow,1954-SWITZERLAND,1954,True,215,89
134,Turkey,South Korea,1.0,4.0,South Korea,1949-01-01,PRELIMINARY-Europe,Cardiff,1954-SWITZERLAND,1954,True,227,207
135,Wales,England,8.0,1.0,Wales,1949-01-01,PRELIMINARY-Europe,Malmo,1954-SWITZERLAND,1954,True,245,79
136,Yugoslavia,Greece,3.0,1.0,Yugoslavia,1949-01-01,PRELIMINARY-Europe,Stockholm,1954-SWITZERLAND,1954,True,248,99
137,Yugoslavia,Israel,5.0,2.0,Yugoslavia,1949-01-01,PRELIMINARY-Europe,Zurich,1954-SWITZERLAND,1954,True,248,120
138,FRG,Turkey,5.0,2.0,FRG,1949-01-01,PRELIMINARY-N/C.America,Mexico D.F,1954-SWITZERLAND,1954,True,86,227
139,Hungary,FRG,0.0,6.0,FRG,1949-01-01,PRELIMINARY-N/C.America,Mexico D.F,1954-SWITZERLAND,1954,True,112,86
140,Ireland,Luxembourg,0.0,3.0,Luxembourg,1949-01-01,PRELIMINARY-N/C.America,Mexico D.F,1954-SWITZERLAND,1954,True,118,140
141,Luxembourg,France,1.0,1.0,draw,1949-01-01,PRELIMINARY-N/C.America,Mexico D.F,1954-SWITZERLAND,1954,True,140,90
142,Saarland,Norway,2.0,0.0,Saarland,1949-01-01,PRELIMINARY-N/C.America,Mexico D.F,1954-SWITZERLAND,1954,True,187,170
143,Scotland,Wales,6.0,2.0,Scotland,1949-01-01,PRELIMINARY-N/C.America,Mexico D.F,1954-SWITZERLAND,1954,True,195,245
144,Israel,Greece,3.0,1.0,Israel,1950-01-01,Group,Curitiba,1954-SWITZERLAND,1954,True,120,99
145,Italy,Egypt,1.0,0.0,Italy,1950-01-01,Group,Belo Horizonte,1954-SWITZERLAND,1954,True,121,77
146,Luxembourg,Ireland,5.0,2.0,Luxembourg,1950-01-01,Group,Recife,1954-SWITZERLAND,1954,True,140,118
147,Wales,Northern Ireland,2.0,2.0,draw,1950-01-01,PRELIMINARY-Europe,Lisboa,1954-SWITZERLAND,1954,True,245,169
148,United States,Mexico,2.0,0.0,United States,1950-01-01,PRELIMINARY-S.America,La_Paz,1954-SWITZERLAND,1954,True,236,151
149,Austria,Scotland,1.0,0.0,Austria,1954-06-16,Group,Zurich,1954-SWITZERLAND,1954,False,16,195
150,Brazil,Mexico,5.0,0.0,Brazil,1954-06-16,Group,Geneve,1954-SWITZERLAND,1954,False,33,151
151,Uruguay,Czechoslovakia,2.0,0.0,Uruguay,1954-06-16,Group,Bern,1954-SWITZERLAND,1954,False,238,60
152,Yugoslavia,France,1.0,0.0,Yugoslavia,1954-06-16,Group,Lausanne,1954-SWITZERLAND,1954,False,248,90
153,England,Belgium,4.0,4.0,draw,1954-06-17,Group,Basel,1954-SWITZERLAND,1954,False,79,25
154,Switzerland,Italy,2.0,1.0,Switzerland,1954-06-17,Group,Lausanne,1954-SWITZERLAND,1954,False,216,121
155,Austria,Czechoslovakia,5.0,0.0,Austria,1954-06-19,Group,Zurich,1954-SWITZERLAND,1954,False,16,60
156,Brazil,Yugoslavia,1.0,1.0,draw,1954-06-19,Group,Lausanne,1954-SWITZERLAND,1954,False,33,248
157,France,Mexico,3.0,2.0,France,1954-06-19,Group,Geneve,1954-SWITZERLAND,1954,False,90,151
158,Uruguay,Scotland,7.0,0.0,Uruguay,1954-06-19,Group,Basel,1954-SWITZERLAND,1954,False,238,195
159,England,Switzerland,2.0,0.0,England,1954-06-20,Group,Bern,1954-SWITZERLAND,1954,False,79,216
160,Italy,Belgium,4.0,1.0,Italy,1954-06-20,Group,Lugano,1954-SWITZERLAND,1954,False,121,25
161,Switzerland,Italy,4.0,1.0,Switzerland,1954-06-23,Group,Basel,1954-SWITZERLAND,1954,False,216,121
162,Austria,Switzerland,7.0,5.0,Austria,1954-06-26,1/4_FINAL,Lausanne,1954-SWITZERLAND,1954,False,16,216
163,Uruguay,England,4.0,2.0,Uruguay,1954-06-26,1/4_FINAL,Basel,1954-SWITZERLAND,1954,False,238,79
164,Hungary,Brazil,4.0,2.0,Hungary,1954-06-27,1/4_FINAL,Bern,1954-SWITZERLAND,1954,False,112,33
165,Hungary,Uruguay,4.0,2.0,Hungary,1954-06-30,1/2_FINAL,Lausanne,1954-SWITZERLAND,1954,False,112,238
166,Austria,Uruguay,3.0,1.0,Austria,1954-07-03,PLACES_3&4,Zurich,1954-SWITZERLAND,1954,False,16,238
167,Austria,Luxembourg,0.0,1.0,Luxembourg,1950-01-01,PRELIMINARY-Europe,Glasgow,1958-SWEDEN,1958,True,16,140
168,England,Denmark,5.0,1.0,England,1950-01-01,PRELIMINARY-Europe,Madrid,1958-SWEDEN,1958,True,79,66
169,France,Belgium,0.0,0.0,draw,1950-01-01,PRELIMINARY-Europe,Wrexham,1958-SWEDEN,1958,True,90,25
170,Bolivia,Chile,1.0,2.0,Chile,1953-01-01,PRELIMINARY-Eu./Afr,Cairo,1958-SWEDEN,1958,True,29,48
171,China,Indonesia,1.0,0.0,China,1953-01-01,PRELIMINARY-Eur./N.E,Athina,1958-SWEDEN,1958,True,49,115
172,GDR,Wales,1.0,0.0,GDR,1953-01-01,PRELIMINARY-Eur./N.E,Beograd,1958-SWEDEN,1958,True,93,245
173,Greece,Romania,1.0,0.0,Greece,1953-01-01,PRELIMINARY-Eur./N.E,Skopje,1958-SWEDEN,1958,True,99,184
174,Argentina,Bolivia,2.0,2.0,draw,1953-01-01,PRELIMINARY-Europe,Bruxelles,1958-SWEDEN,1958,True,12,29
175,Argentina,Chile,2.0,0.0,Argentina,1953-01-01,PRELIMINARY-Europe,Bruxelles,1958-SWEDEN,1958,True,12,48
176,Austria,Netherlands,1.0,2.0,Netherlands,1953-01-01,PRELIMINARY-Europe,Sofija,1958-SWEDEN,1958,True,16,161
