home_team,away_team,home_result,away_result,date,round,city,edition
France,Luxembourg (Lëtzebuerg),8.0,0.0,1953-01-01,PRELIMINARY-Europe,Paris,1953
Haiti (Haïti),Mexico (México),0.0,4.0,1953-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1953
Spain (España),Turkey (Türkiye),4.0,1.0,1954-01-01,PRELIMINARY-Europe,Madrid,1954
USA,Mexico (México),0.0,4.0,1954-01-01,PRELIMINARY-N/C.America,México D.F,1954
Mexico (México),USA,3.0,1.0,1954-01-01,PRELIMINARY-N/C.America,México D.F,1954
Italy (Italia),Egypt (مصر),5.0,1.0,1954-01-01,PRELIMINARY-Eu./Afr.,Milano,1954
Paraguay,Chile,4.0,0.0,1954-01-01,PRELIMINARY-S.America,Asunción,1954
Chile,Paraguay,1.0,3.0,1954-01-01,PRELIMINARY-S.America,Santiago,1954
Chile,Brazil (Brasil),0.0,2.0,1954-01-01,PRELIMINARY-S.America,Santiago,1954
Luxembourg (Lëtzebuerg),Ireland (Éire),0.0,1.0,1954-01-01,PRELIMINARY-Europe,Luxembourg,1954
Paraguay,Brazil (Brasil),0.0,1.0,1954-01-01,PRELIMINARY-S.America,Asunción,1954
Japan (日本),South Korea (한국),1.0,5.0,1954-01-01,PRELIMINARY-Asia,Tokyo,1954
Israel (ישראל),Greece (Ελλάδα),0.0,2.0,1954-01-01,PRELIMINARY-Eur./N.E.,Tel Aviv,1954
Turkey (Türkiye),Spain (España),1.0,0.0,1954-01-01,PRELIMINARY-Europe,İstanbul,1954
Brazil (Brasil),Chile,1.0,0.0,1954-01-01,PRELIMINARY-S.America,Rio de Janeiro,1954
South Korea (한국),Japan (日本),2.0,2.0,1954-01-01,PRELIMINARY-Asia,Tokyo,1954
Turkey (Türkiye),Spain (España),2.0,2.0,1954-01-01,PRELIMINARY-Europe,Roma,1954
Israel (ישראל),Yugoslavia (Југославија),0.0,1.0,1954-01-01,PRELIMINARY-Eur./N.E.,Tel Aviv,1954
Brazil (Brasil),Paraguay,4.0,1.0,1954-01-01,PRELIMINARY-S.America,Rio de Janeiro,1954
Saarland,FRG (BRD / Westdeutschland),1.0,3.0,1954-01-01,PRELIMINARY-Europe,Saarbrücken,1954
Greece (Ελλάδα),Yugoslavia (Југославија),0.0,1.0,1954-01-01,PRELIMINARY-Eur./N.E.,Athína,1954
Wales (Cymru),Northern Ireland (Ulster),1.0,2.0,1954-01-01,PRELIMINARY-Europe,Wrexham,1954
Scotland,England,2.0,4.0,1954-01-01,PRELIMINARY-Europe,Glasgow,1954
Haiti (Haïti),USA,2.0,3.0,1954-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1954
USA,Haiti (Haïti),3.0,0.0,1954-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1954
Yugoslavia (Југославија),France,1.0,0.0,1954-01-01,GROUP_STAGE,Lausanne,1954
Brazil (Brasil),Mexico (México),5.0,0.0,1954-01-01,GROUP_STAGE,Genève,1954
Austria (Österreich),Scotland,1.0,0.0,1954-01-01,GROUP_STAGE,Zürich,1954
Uruguay,Czechoslovakia (Československo),2.0,0.0,1954-01-01,GROUP_STAGE,Bern,1954
Switzerland (Schweiz / Suisse),Italy (Italia),2.0,1.0,1954-01-01,GROUP_STAGE,Lausanne,1954
Hungary (Magyarország),South Korea (한국),9.0,0.0,1954-01-01,GROUP_STAGE,Zürich,1954
FRG (BRD / Westdeutschland),Turkey (Türkiye),4.0,1.0,1954-01-01,GROUP_STAGE,Bern,1954
England,Belgium (België),4.0,4.0,1954-01-01,GROUP_STAGE,Basel,1954
Uruguay,Scotland,7.0,0.0,1954-01-01,GROUP_STAGE,Basel,1954
Brazil (Brasil),Yugoslavia (Југославија),1.0,1.0,1954-01-01,GROUP_STAGE,Lausanne,1954
Austria (Österreich),Czechoslovakia (Československo),5.0,0.0,1954-01-01,GROUP_STAGE,Zürich,1954
France,Mexico (México),3.0,2.0,1954-01-01,GROUP_STAGE,Genève,1954
Hungary (Magyarország),FRG (BRD / Westdeutschland),8.0,3.0,1954-01-01,GROUP_STAGE,Basel,1954
Turkey (Türkiye),South Korea (한국),7.0,0.0,1954-01-01,GROUP_STAGE,Genève,1954
Italy (Italia),Belgium (België),4.0,1.0,1954-01-01,GROUP_STAGE,Lugano,1954
England,Switzerland (Schweiz / Suisse),2.0,0.0,1954-01-01,GROUP_STAGE,Bern,1954
FRG (BRD / Westdeutschland),Turkey (Türkiye),7.0,2.0,1954-01-01,GROUP_STAGE,Zürich,1954
Switzerland (Schweiz / Suisse),Italy (Italia),4.0,1.0,1954-01-01,GROUP_STAGE,Basel,1954
Uruguay,England,4.0,2.0,1954-01-01,1/4_FINAL,Basel,1954
Austria (Österreich),Switzerland (Schweiz / Suisse),7.0,5.0,1954-01-01,1/4_FINAL,Lausanne,1954
Hungary (Magyarország),Brazil (Brasil),4.0,2.0,1954-01-01,1/4_FINAL,Bern,1954
FRG (BRD / Westdeutschland),Yugoslavia (Југославија),2.0,0.0,1954-01-01,1/4_FINAL,Genève,1954
Hungary (Magyarország),Uruguay,4.0,2.0,1954-01-01,1/2_FINAL,Lausanne,1954
FRG (BRD / Westdeutschland),Austria (Österreich),6.0,1.0,1954-01-01,1/2_FINAL,Basel,1954
Austria (Österreich),Uruguay,3.0,1.0,1954-01-01,PLACES_3&4,Zürich,1954
FRG (BRD / Westdeutschland),Hungary (Magyarország),3.0,2.0,1954-01-01,_FINAL,Bern,1954
Austria (Österreich),Luxembourg (Lëtzebuerg),7.0,0.0,1956-01-01,PRELIMINARY-Europe,Wien,1956
Ireland (Éire),Denmark (Danmark),2.0,1.0,1956-01-01,PRELIMINARY-Europe,Dublin,1956
France,Belgium (België),6.0,3.0,1956-01-01,PRELIMINARY-Europe,Paris,1956
England,Denmark (Danmark),5.0,2.0,1956-01-01,PRELIMINARY-Europe,Wolverhampton,1956
Portugal,Northern Ireland (Ulster),1.0,1.0,1957-01-01,PRELIMINARY-Europe,Lisboa,1957
Guatemala,Costa Rica,2.0,6.0,1957-01-01,PRELIMINARY-N/C.America,Guatemala,1957
Costa Rica,Guatemala,3.0,1.0,1957-01-01,PRELIMINARY-N/C.America,San_José,1957
Costa Rica,Curaçao,4.0,0.0,1957-01-01,PRELIMINARY-N/C.America,San_José,1957
Sudan (السودان),Syria (سوريا),1.0,0.0,1957-01-01,PRELIMINARY-Afr./As.,Khartoum,1957
Spain (España),Switzerland (Schweiz / Suisse),2.0,2.0,1957-01-01,PRELIMINARY-Europe,Madrid,1957
Guatemala,Curaçao,1.0,3.0,1957-01-01,PRELIMINARY-N/C.America,Guatemala,1957
Netherlands (Nederland),Luxembourg (Lëtzebuerg),4.0,1.0,1957-01-01,PRELIMINARY-Europe,Rotterdam,1957
Mexico (México),USA,6.0,0.0,1957-01-01,PRELIMINARY-N/C.America,México D.F,1957
Peru (Perú),Brazil (Brasil),1.0,1.0,1957-01-01,PRELIMINARY-S.America,Lima,1957
Brazil (Brasil),Peru (Perú),1.0,0.0,1957-01-01,PRELIMINARY-S.America,Rio de Janeiro,1957
Italy (Italia),Northern Ireland (Ulster),1.0,0.0,1957-01-01,PRELIMINARY-Europe,Roma,1957
USA,Mexico (México),2.0,7.0,1957-01-01,PRELIMINARY-N/C.America,Los Angeles,1957
Wales (Cymru),Czechoslovakia (Československo),1.0,0.0,1957-01-01,PRELIMINARY-Europe,Cardiff,1957
Northern Ireland (Ulster),Portugal,3.0,0.0,1957-01-01,PRELIMINARY-Europe,Belfast,1957
Greece (Ελλάδα),Yugoslavia (Југославија),0.0,0.0,1957-01-01,PRELIMINARY-Europe,Athína,1957
