id_match,home_team,away_team,home_result,away_result,result,date,round,city,edition,is_final
1625,Cyprus,Hungary,1,1,draw,,Preliminary round,Mexico D.F,1986,False
1626,Cyprus,Netherlands,5,1,Cyprus,,Preliminary round,Mexico D.F,1986,False
1627,Czechoslovakia,FRG,2,0,Czechoslovakia,,Preliminary round,Tegucigalpa,1986,False
1628,Czechoslovakia,Malta,0,0,draw,,Preliminary round,Casablanca,1986,False
1629,Czechoslovakia,Portugal,0,0,draw,,Preliminary round,Tegucigalpa,1986,False
1630,Czechoslovakia,Sweden,4,0,Czechoslovakia,,Preliminary round,Tegucigalpa,1986,False
1631,Denmark,FRG,1,0,Denmark,,Preliminary round,Dublin,1986,False
1632,Denmark,Ireland,2,0,Denmark,,Preliminary round,Fez,1986,False
1633,Denmark,Norway,1,2,Norway,,Preliminary round,Maputo,1986,False
1634,Denmark,Switzerland,1,3,Switzerland,,Preliminary round,Budapest,1986,False
1635,Denmark,USSR,0,0,draw,,Preliminary round,Tegucigalpa,1986,False
1636,Dutch Antilles,United States,0,0,draw,,Preliminary round,Niamey,1986,False
1637,Ecuador,Chile,4,1,Ecuador,,Preliminary round,Budapest,1986,False
1638,Ecuador,Uruguay,1,0,Ecuador,,Preliminary round,Budapest,1986,False
1639,Egypt,Madagascar,3,0,Egypt,,Preliminary round,Budapest,1986,False
1640,Egypt,Morocco,1,1,draw,,Preliminary round,Reykjavik,1986,False
1641,Egypt,Zimbabwe,0,1,Zimbabwe,,Preliminary round,Niamey,1986,False
1642,El Salvador,Honduras,2,0,El Salvador,,Preliminary round,Reykjavik,1986,False
1643,El Salvador,Puerto Rico,1,1,draw,,Preliminary round,Lagos,1986,False
1644,El Salvador,Surinam,1,0,El Salvador,,Preliminary round,Surabaya,1986,False
1645,England,Finland,2,0,England,,Preliminary round,Lagos,1986,False
1646,England,Northern Ireland,3,3,draw,,Preliminary round,Jakarta,1986,False
1647,England,Romania,0,2,Romania,,Preliminary round,Jakarta,1986,False
1648,England,Turkey,1,0,England,,Preliminary round,Jakarta,1986,False
1649,Ethiopia,Kenya,1,0,Ethiopia,,Preliminary round,Hong Kong,1986,False
1650,FRG,Czechoslovakia,2,0,FRG,,Preliminary round,Riyadh,1986,False
1651,FRG,Malta,0,1,Malta,,Preliminary round,Riyadh,1986,False
1652,FRG,Mexico,2,1,FRG,,Preliminary round,Nairobi,1986,False
1653,FRG,Portugal,2,1,FRG,,Preliminary round,Riyadh,1986,False
1654,FRG,Scotland,1,0,FRG,,Preliminary round,Reykjavik,1986,False
1655,FRG,Sweden,3,0,FRG,,Preliminary round,Hong Kong,1986,False
1656,Finland,England,3,2,Finland,,Preliminary round,Dublin,1986,False
1657,Finland,Northern Ireland,3,0,Finland,,Preliminary round,Belfast,1986,False
1658,Finland,Romania,4,1,Finland,,Preliminary round,Tel Aviv,1986,False
1659,Finland,Turkey,0,1,Turkey,,Preliminary round,Tel Aviv,1986,False
1660,France,Bulgaria,1,1,draw,,Preliminary round,Oslo,1986,False
1661,France,FRG,0,1,FRG,,Preliminary round,Monrovia,1986,False
1662,France,GDR,1,1,draw,,Preliminary round,Panama,1986,False
1663,France,Luxembourg,1,1,draw,,Preliminary round,Torino,1986,False
1664,France,Yugoslavia,1,0,France,,Preliminary round,Napoli,1986,False
1665,GDR,Bulgaria,1,0,GDR,,Preliminary round,Kuwait,1986,False
1666,GDR,France,4,0,GDR,,Preliminary round,Kuwait,1986,False
1667,GDR,Luxembourg,2,2,draw,,Preliminary round,Kuwait,1986,False
1668,GDR,Yugoslavia,1,3,Yugoslavia,,Preliminary round,Panama,1986,False
1669,Gambia,Cote d Ivoire,0,2,Cote d Ivoire,,Preliminary round,Panama,1986,False
1670,Ghana,Cote d Ivoire,2,0,Ghana,,Preliminary round,Kuwait,1986,False
1671,Ghana,Libya,2,0,Ghana,,Preliminary round,Kuwait,1986,False
1672,Greece,Albania,6,0,Greece,,Preliminary round,Kuwait,1986,False
1673,Greece,Belgium,0,2,Belgium,,Preliminary round,Panama,1986,False
1674,Greece,Poland,1,2,Poland,,Preliminary round,Luxembourg,1986,False
1675,Guatemala,Canada,0,2,Canada,,Preliminary round,Luxembourg,1986,False
1676,Guatemala,Haiti,2,2,draw,,Preliminary round,Kuwait,1986,False
1677,Guinea,Tunisia,1,2,Tunisia,,Preliminary round,Valletta,1986,False
1678,Guyana,Surinam,3,0,Guyana,,Preliminary round,Lisboa,1986,False
1679,Haiti,Antigua and Barbuda,1,0,Haiti,,Preliminary round,Lisboa,1986,False
1680,Haiti,Canada,1,1,draw,,Preliminary round,Tegucigalpa,1986,False
1681,Haiti,Guatemala,4,0,Haiti,,Preliminary round,Tegucigalpa,1986,False
1682,Honduras,Canada,0,1,Canada,,Preliminary round,Tegucigalpa,1986,False
1683,Honduras,Costa Rica,0,2,Costa Rica,,Preliminary round,Kenitra,1986,False
1684,Honduras,El Salvador,1,0,Honduras,,Preliminary round,Casablanca,1986,False
1685,Honduras,Panama,2,1,Honduras,,Preliminary round,Bucuresti,1986,False
1686,Honduras,Surinam,3,0,Honduras,,Preliminary round,Rotterdam,1986,False
1687,Hong Kong,Brunei,3,0,Hong Kong,,Preliminary round,Groningen,1986,False
1688,Hong Kong,China,1,0,Hong Kong,,Preliminary round,Rotterdam,1986,False
1689,Hong Kong,Japan,2,2,draw,,Preliminary round,Rotterdam,1986,False
1690,Hong Kong,Macao,3,3,draw,,Preliminary round,Auckland,1986,False
1691,Hungary,Austria,0,0,draw,,Preliminary round,Glasgow,1986,False
1692,Hungary,Cyprus,1,0,Hungary,,Preliminary round,Auckland,1986,False
1693,Hungary,Netherlands,13,0,Hungary,,Preliminary round,Auckland,1986,False
1694,Iceland,Scotland,5,0,Iceland,,Preliminary round,Auckland,1986,False
1695,Iceland,Spain,1,2,Spain,,Preliminary round,Auckland,1986,False
1696,Iceland,Wales,0,1,Wales,,Preliminary round,Dakar,1986,False
1697,India,Bangladesh,2,2,draw,,Preliminary round,Auckland,1986,False
1698,India,Indonesia,2,0,India,,Preliminary round,Auckland,1986,False
1699,India,Thailand,1,0,India,,Preliminary round,Niamey,1986,False
1700,Indonesia,Bangladesh,0,2,Bangladesh,,Preliminary round,Lagos,1986,False
1701,Indonesia,India,1,0,Indonesia,,Preliminary round,Lagos,1986,False
1702,Indonesia,South Korea,2,4,South Korea,,Preliminary round,Hong Kong,1986,False
1703,Indonesia,Thailand,1,0,Indonesia,,Preliminary round,Belfast,1986,False
1704,Iraq,Jordan,1,0,Iraq,,Preliminary round,Belfast,1986,False
1705,Iraq,Lebanon,0,0,draw,,Preliminary round,Belfast,1986,False
1706,Iraq,Lebanon,2,1,Iraq,,Preliminary round,Oslo,1986,False
1707,Iraq,Qatar,1,2,Qatar,,Preliminary round,Oslo,1986,False
1708,Iraq,Syria,1,1,draw,,Preliminary round,Oslo,1986,False
1709,Iraq,United Arab Emirates,0,1,United Arab Emirates,,Preliminary round,Asuncion,1986,False
1710,Ireland,Denmark,3,1,Ireland,,Preliminary round,Asuncion,1986,False
1711,Ireland,Norway,2,0,Ireland,,Preliminary round,Lima,1986,False
1712,Ireland,Switzerland,0,0,draw,,Preliminary round,Lima,1986,False
