id_match,id_team,Number_of_goals_scored,Number_of_goals_conceded
1549,57,1,5
1550,68,3,0
1551,28,1,1
1552,10,2,1
1553,190,1,1
1554,10,2,0
1555,77,4,2
1556,199,3,1
1557,157,1,2
1558,157,4,1
1559,160,1,0
1560,2,1,1
1561,2,1,2
1562,2,3,0
1563,3,3,1
1564,3,5,0
1565,3,0,0
1566,6,4,0
1567,6,0,0
1568,9,2,1
1569,10,2,1
1570,10,0,4
1571,10,6,1
1572,10,1,1
1573,10,1,0
1574,13,1,1
1575,13,2,0
1576,13,3,0
1577,13,3,0
1578,14,0,0
1579,14,2,0
1580,14,0,2
1581,17,1,1
1582,17,1,1
1583,18,2,2
1584,18,0,0
1585,18,0,1
1586,21,0,5
1587,21,6,1
1588,21,1,1
1589,21,2,0
1590,23,1,1
1591,25,3,1
1592,25,1,2
1593,28,0,0
1594,28,1,0
1595,30,0,0
1596,30,1,0
1597,30,1,0
1598,31,0,0
1599,31,8,0
1600,31,1,1
1601,31,2,0
1602,35,4,0
1603,36,7,1
1604,36,1,4
1605,36,0,0
1606,36,0,4
1607,41,2,1
1608,41,2,1
1609,41,0,4
1610,41,3,2
1611,42,4,0
1612,42,2,0
1613,42,5,1
1614,43,2,3
1615,43,2,3
1616,43,2,0
1617,43,1,2
1618,47,1,1
1619,47,0,2
1620,47,1,1
1621,47,2,1
1622,48,0,1
1623,48,1,2
1624,52,0,2
1625,52,1,1
1626,52,5,1
1627,54,2,0
1628,54,0,0
1629,54,0,0
1630,54,4,0
1631,57,1,0
1632,57,2,0
1633,57,1,2
1634,57,1,3
1635,57,0,0
1636,61,0,0
1637,65,4,1
1638,65,1,0
1639,66,3,0
1640,66,1,1
1641,66,0,1
1642,67,2,0
1643,67,1,1
1644,67,1,0
1645,68,2,0
1646,68,3,3
1647,68,0,2
1648,68,1,0
1649,72,1,0
1650,73,2,0
1651,73,0,1
1652,73,2,1
