id_match,result,date,round,city,edition,is_final
314,77,,Preliminary round,Reykjavik,1962,False
315,43,,Preliminary round,Jakarta,1962,False
316,0,,Preliminary round,Rangoon,1962,False
317,47,,Preliminary round,Toronto,1962,False
318,93,,Preliminary round,Santiago,1962,False
319,0,,Preliminary round,Dublin,1962,False
320,47,,Preliminary round,Roma,1962,False
321,52,,Preliminary round,Santiago,1962,False
322,54,,Preliminary round,Milano,1962,False
323,175,,Preliminary round,Luxembourg,1962,False
324,175,,Preliminary round,Rotterdam,1962,False
325,61,,Preliminary round,Mexico D.F,1962,False
326,61,,Preliminary round,Beijing,1962,False
327,61,,Preliminary round,Mexico D.F,1962,False
328,61,,Preliminary round,Bogota,1962,False
329,0,,Preliminary round,Bogota,1962,False
330,68,,Preliminary round,Mexico D.F,1962,False
331,0,,Preliminary round,Amsterdam,1962,False
332,72,,Preliminary round,Rotterdam,1962,False
333,73,,Preliminary round,Belfast,1962,False
334,149,,Preliminary round,Oslo,1962,False
335,76,,Preliminary round,Oslo,1962,False
336,76,,Preliminary round,San_Jose,1962,False
337,77,,Preliminary round,San_Jose,1962,False
338,77,,Preliminary round,Asuncion,1962,False
339,78,,Preliminary round,Asuncion,1962,False
340,0,,Preliminary round,Lima,1962,False
341,83,,Preliminary round,Warszawa,1962,False
342,0,,Preliminary round,San_Jose,1962,False
343,73,,Preliminary round,Willemstad,1962,False
344,84,,Preliminary round,Chorzow,1962,False
345,87,,Preliminary round,Willemstad,1962,False
346,87,,Preliminary round,Brno,1962,False
347,93,,Preliminary round,Praha,1962,False
348,87,,Preliminary round,København,1962,False
349,95,,Preliminary round,Lisboa,1962,False
350,0,,Preliminary round,Lisboa,1962,False
351,101,,Preliminary round,Bucuresti,1962,False
352,0,,Preliminary round,Bucuresti,1962,False
353,52,,Preliminary round,København,1962,False
354,103,,Preliminary round,Glasgow,1962,False
355,103,,Preliminary round,Glasgow,1962,False
356,104,,Preliminary round,Moskva,1962,False
357,106,,Preliminary round,Moskva,1962,False
358,120,,Preliminary round,London,1962,False
359,120,,Preliminary round,Leipzig,1962,False
360,131,,Preliminary round,Madrid,1962,False
361,0,,Preliminary round,Madrid,1962,False
362,131,,Preliminary round,Khartoum,1962,False
363,216,,Preliminary round,Helsinki,1962,False
364,83,,Preliminary round,Basel,1962,False
365,190,,Preliminary round,Lausanne,1962,False
366,206,,Preliminary round,Helsinki,1962,False
367,0,,Preliminary round,Damascus,1962,False
368,95,,Preliminary round,St._Louis,1962,False
369,146,,Preliminary round,Nantes,1962,False
370,73,,Preliminary round,Leipzig,1962,False
371,84,,Preliminary round,Los Angeles,1962,False
372,150,,Preliminary round,Montevideo,1962,False
373,150,,Preliminary round,Montevideo,1962,False
374,156,,Preliminary round,Cardiff,1962,False
375,157,,Preliminary round,Cardiff,1962,False
376,159,,Preliminary round,Beograd,1962,False
377,160,,Preliminary round,Beograd,1962,False
378,187,,Preliminary round,Leipzig,1962,False
379,21,,Preliminary round,Athina,1962,False
380,0,,Preliminary round,Athina,1962,False
381,131,,Preliminary round,Guatemala,1962,False
382,0,1966-07-11,Group,London,1966,True
383,28,1966-07-12,Group,Liverpool,1966,True
384,10,1966-07-13,Group,Birmingham,1966,True
385,0,1966-07-13,Group,London,1966,True
386,104,1966-07-13,Group,Sunderland,1966,True
387,160,1966-07-13,Group,Manchester,1966,True
388,95,1966-07-15,Group,Liverpool,1966,True
389,190,1966-07-15,Group,Sheffield,1966,True
390,218,1966-07-15,Group,London,1966,True
391,68,1966-07-16,Group,London,1966,True
392,160,1966-07-16,Group,Manchester,1966,True
393,212,1966-07-16,Group,Sunderland,1966,True
394,10,1966-07-19,Group,Sheffield,1966,True
395,160,1966-07-19,Group,Liverpool,1966,True
396,68,1966-07-20,Group,London,1966,True
397,95,1966-07-20,Group,Manchester,1966,True
398,212,1966-07-20,Group,Sunderland,1966,True
399,68,1966-07-23,Quarter-finals,London,1966,True
400,212,1966-07-23,Quarter-finals,Sunderland,1966,True
401,68,1966-07-26,Semi-finals,London,1966,True
402,160,1966-07-28,Match for third place,London,1966,True
403,0,,Group,Santiago,1966,True
404,216,,Group,Santiago,1966,True
405,218,,Group,Santiago,1966,True
406,175,,Match for third place,Goteborg,1966,True
407,2,,Preliminary round,Belfast,1966,False
408,2,,Preliminary round,Cardiff,1966,False
409,10,,Preliminary round,Buenos Aires,1966,False
410,156,,Preliminary round,Bruxelles,1966,False
411,13,,Preliminary round,San_Jose,1966,False
412,14,,Preliminary round,San_Jose,1966,False
413,0,,Preliminary round,Levkosia,1966,False
414,0,,Preliminary round,Willemstad,1966,False
415,103,,Preliminary round,Paramaribo,1966,False
416,10,,Preliminary round,Guayaquil,1966,False
417,156,,Preliminary round,Helsinki,1966,False
418,31,,Preliminary round,Paris,1966,False
419,31,,Preliminary round,Accra,1966,False
420,103,,Preliminary round,Athina,1966,False
421,0,,Preliminary round,Guatemala,1966,False
422,65,,Preliminary round,Guatemala,1966,False
423,41,,Preliminary round,Tegucigalpa,1966,False
424,0,,Preliminary round,Tegucigalpa,1966,False
425,43,,Preliminary round,Tel Aviv,1966,False
426,63,,Preliminary round,Luxembourg,1966,False
427,47,,Preliminary round,Mexico D.F,1966,False
428,47,,Preliminary round,Casablanca,1966,False
429,0,,Preliminary round,Lagos,1966,False
430,61,,Preliminary round,Belfast,1966,False
431,50,,Preliminary round,Seoul,1966,False
432,52,,Preliminary round,Stockholm,1966,False
433,52,,Preliminary round,Tunis,1966,False
434,0,,Preliminary round,Los Angeles,1966,False
435,164,,Preliminary round,Bruxelles,1966,False
436,0,,Preliminary round,La_Paz,1966,False
437,57,,Preliminary round,Sofija,1966,False
438,57,,Preliminary round,Sofija,1966,False
439,61,,Preliminary round,Milano,1966,False
440,61,,Preliminary round,Bogota,1966,False
441,63,,Preliminary round,San_Jose,1966,False
442,63,,Preliminary round,Guatemala,1966,False
443,65,,Preliminary round,San_Jose,1966,False
444,65,,Preliminary round,Praha,1966,False
445,73,,Preliminary round,Bratislava,1966,False
446,76,,Preliminary round,Bruxelles,1966,False
447,76,,Preliminary round,Willemstad,1966,False
448,0,,Preliminary round,Willemstad,1966,False
449,77,,Preliminary round,London,1966,False
450,77,,Preliminary round,London,1966,False
451,14,,Preliminary round,Tel Aviv,1966,False
452,78,,Preliminary round,Augsburg,1966,False
453,84,,Preliminary round,West-Berlin,1966,False
454,131,,Preliminary round,Helsinki,1966,False
455,93,,Preliminary round,Paris,1966,False
456,14,,Preliminary round,Ost-Berlin,1966,False
457,0,,Preliminary round,Leipzig,1966,False
458,0,,Preliminary round,Accra,1966,False
459,103,,Preliminary round,Athina,1966,False
460,103,,Preliminary round,Budapest,1966,False
461,0,,Preliminary round,Budapest,1966,False
462,175,,Preliminary round,Dublin,1966,False
463,47,,Preliminary round,Dublin,1966,False
464,105,,Preliminary round,Tel Aviv,1966,False
465,61,,Preliminary round,Tel Aviv,1966,False
466,105,,Preliminary round,Torino,1966,False
467,226,,Preliminary round,Tokyo,1966,False
468,131,,Preliminary round,Luxembourg,1966,False
469,131,,Preliminary round,Mexico D.F,1966,False
470,131,,Preliminary round,Mexico D.F,1966,False
471,131,,Preliminary round,Mexico D.F,1966,False
472,141,,Preliminary round,Casablanca,1966,False
473,196,,Preliminary round,Casablanca,1966,False
474,0,,Preliminary round,Palermo,1966,False
475,2,,Preliminary round,Rotterdam,1966,False
476,149,,Preliminary round,Belfast,1966,False
477,77,,Preliminary round,Oslo,1966,False
478,120,,Preliminary round,Oslo,1966,False
479,0,,Preliminary round,Asuncion,1966,False
480,0,,Preliminary round,Lima,1966,False
481,0,,Preliminary round,Chorzow,1966,False
482,0,,Preliminary round,Lisboa,1966,False
483,157,,Preliminary round,Lisboa,1966,False
484,159,,Preliminary round,Glasgow,1966,False
485,159,,Preliminary round,Glasgow,1966,False
486,175,,Preliminary round,Seoul,1966,False
487,160,,Preliminary round,Moskva,1966,False
488,160,,Preliminary round,Moskva,1966,False
489,160,,Preliminary round,Madrid,1966,False
490,0,,Preliminary round,Madrid,1966,False
491,164,,Preliminary round,Stockholm,1966,False
492,164,,Preliminary round,Lausanne,1966,False
493,175,,Preliminary round,Bern,1966,False
494,175,,Preliminary round,West-Berlin,1966,False
495,101,,Preliminary round,Cardiff,1966,False
496,190,,Preliminary round,Beograd,1966,False
497,195,,Preliminary round,Beograd,1966,False
498,212,,Preliminary round,Istanbul,1966,False
499,84,,Preliminary round,Istanbul,1966,False
500,212,,Preliminary round,Montevideo,1966,False
501,120,,Preliminary round,Tel Aviv,1966,False
502,104,,Quarter-finals,Malmo,1966,True
503,147,,Quarter-finals,Santiago,1966,True
504,141,,Semi-finals,Goteborg,1966,True
505,68,1970-06-02,Group,Guadalajara,1970,True
506,157,1970-06-02,Group,Leon,1970,True
507,218,1970-06-02,Group,Puebla,1970,True
508,21,1970-06-03,Group,Mexico D.F,1970,True
509,28,1970-06-03,Group,Guadalajara,1970,True
510,104,1970-06-03,Group,Toluca,1970,True
511,157,1970-06-06,Group,Leon,1970,True
512,164,1970-06-06,Group,Guadalajara,1970,True
513,212,1970-06-06,Group,Mexico D.F,1970,True
514,28,1970-06-07,Group,Guadalajara,1970,True
515,131,1970-06-07,Group,Mexico D.F,1970,True
516,0,1970-06-07,Group,Toluca,1970,True
517,28,1970-06-10,Group,Guadalajara,1970,True
518,195,1970-06-10,Group,Puebla,1970,True
519,212,1970-06-10,Group,Mexico D.F,1970,True
520,0,1970-06-11,Group,Leon,1970,True
521,68,1970-06-11,Group,Guadalajara,1970,True
522,0,1970-06-11,Group,Toluca,1970,True
523,131,1970-06-11,Group,Mexico D.F,1970,True
524,28,1970-06-14,Quarter-finals,Guadalajara,1970,True
525,104,1970-06-14,Quarter-finals,Toluca,1970,True
526,218,1970-06-14,Quarter-finals,Mexico D.F,1970,True
527,28,1970-06-17,Semi-finals,Guadalajara,1970,True
528,28,1970-06-21,Final,Mexico D.F,1970,True
529,196,,Final,London,1970,True
530,0,,Group,London,1970,True
531,156,,Group,Sheffield,1970,True
532,0,,Group,Birmingham,1970,True
533,159,,Group,Birmingham,1970,True
534,175,,Group,Middlesbrough,1970,True
535,0,,Group,Middlesbrough,1970,True
536,187,,Group,Middlesbrough,1970,True
537,10,,Preliminary round,Karlsruhe,1970,False
538,157,,Preliminary round,Helsinki,1970,False
539,13,,Preliminary round,Helsinki,1970,False
540,106,,Preliminary round,Helsinki,1970,False
541,13,,Preliminary round,Marseille,1970,False
542,13,,Preliminary round,Paris,1970,False
543,13,,Preliminary round,Leipzig,1970,False
544,73,,Preliminary round,Tirane,1970,False
545,0,,Preliminary round,Leipzig,1970,False
546,21,,Preliminary round,København,1970,False
547,190,,Preliminary round,Athina,1970,False
548,0,,Preliminary round,West-Berlin,1970,False
549,24,,Preliminary round,Paris,1970,False
550,24,,Preliminary round,Athina,1970,False
551,10,,Preliminary round,San_Pedro_Sula,1970,False
552,157,,Preliminary round,San_Pedro_Sula,1970,False
553,28,,Preliminary round,Budapest,1970,False
554,28,,Preliminary round,Budapest,1970,False
555,28,,Preliminary round,Dublin,1970,False
556,120,,Preliminary round,Tel Aviv,1970,False
557,31,,Preliminary round,Athina,1970,False
558,159,,Preliminary round,Tel Aviv,1970,False
559,35,,Preliminary round,Genova,1970,False
560,24,,Preliminary round,Luxembourg,1970,False
561,216,,Preliminary round,Luxembourg,1970,False
562,41,,Preliminary round,Roma,1970,False
563,41,,Preliminary round,Napoli,1970,False
564,0,,Preliminary round,Kingston,1970,False
565,43,,Preliminary round,Kingston,1970,False
566,43,,Preliminary round,Kingston,1970,False
567,47,,Preliminary round,Rotterdam,1970,False
568,47,,Preliminary round,Belfast,1970,False
569,14,,Preliminary round,Kingston,1970,False
570,52,,Preliminary round,Glasgow,1970,False
571,52,,Preliminary round,Lausanne,1970,False
572,54,,Preliminary round,Beograd,1970,False
573,95,,Preliminary round,Luxembourg,1970,False
574,54,,Preliminary round,Mexico D.F,1970,False
575,54,,Preliminary round,Mexico D.F,1970,False
576,0,,Preliminary round,Tirane,1970,False
577,57,,Preliminary round,Mexico D.F,1970,False
578,57,,Preliminary round,Mexico D.F,1970,False
579,63,,Preliminary round,Tirane,1970,False
580,61,,Preliminary round,Buenos Aires,1970,False
581,63,,Preliminary round,Buenos Aires,1970,False
582,67,,Preliminary round,Phnom Penh,1970,False
583,0,,Preliminary round,Rotterdam,1970,False
584,0,,Preliminary round,Amsterdam,1970,False
585,0,,Preliminary round,Wien,1970,False
586,63,,Preliminary round,Wien,1970,False
587,67,,Preliminary round,Phnom Penh,1970,False
588,67,,Preliminary round,Belfast,1970,False
589,67,,Preliminary round,Belfast,1970,False
