id_match,id_team,Number_of_goals_scored,Number_of_goals_conceded
1052,41,0,0
1053,156,0,3
1054,108,1,1
1055,145,2,1
1056,205,1,1
1057,226,0,4
1058,36,0,2
1059,192,0,2
1060,103,0,3
1061,119,2,2
1062,103,1,1
1063,31,0,9
1064,14,0,1
1065,127,1,2
1066,211,2,2
1067,67,1,3
1068,192,0,0
1069,82,0,1
1070,202,0,0
1071,205,0,4
1072,67,0,1
1073,86,0,0
1074,192,0,2
1075,13,0,1
1076,97,1,3
1077,98,2,3
1078,109,1,2
1079,124,0,1
1080,180,0,0
1081,186,0,1
1082,201,1,2
1083,25,0,2
1084,83,0,4
1085,211,0,1
1086,148,0,4
1087,124,1,1
1088,180,1,0
1089,13,0,2
1090,93,1,0
1091,109,0,4
1092,173,0,2
1093,186,0,0
1094,196,1,0
1095,31,0,2
1096,76,1,4
1097,105,0,3
1098,186,1,2
1099,75,2,4
1100,119,0,2
1101,206,0,1
1102,109,0,1
1103,189,3,1
1104,225,1,2
1105,98,0,2
1106,54,2,2
1107,93,2,0
1108,124,0,1
1109,201,1,1
1110,13,0,3
1111,93,2,2
1112,98,1,1
1113,102,0,0
1114,105,0,3
1115,109,1,1
1116,163,2,1
1117,195,0,2
1118,149,0,5
1119,98,3,0
1120,13,2,1
1121,142,0,3
1122,97,1,1
1123,88,0,2
1124,3,1,4
1125,66,1,2
1126,88,2,1
1127,135,4,1
1128,145,1,7
1129,14,0,2
1130,77,1,1
1131,83,0,2
1132,94,5,1
1133,226,1,2
1134,25,1,1
1135,220,1,1
1136,25,1,3
1137,217,0,7
1138,54,1,2
1139,174,0,2
1140,163,1,1
1141,189,0,2
1142,66,0,3
1143,212,0,7
1144,102,1,1
1145,66,0,1
1146,98,2,4
1147,68,2,0
1148,201,1,0
1149,77,2,0
1150,94,1,2
1151,76,1,2
1152,130,1,3
1153,189,1,2
1154,98,0,3
1155,174,1,3
1156,28,1,1
1157,76,1,2
1158,94,1,3
1159,205,0,1
1160,194,0,1
1161,189,0,0
1162,156,0,0
1163,98,1,1
1164,94,1,3
1165,10,0,1
1166,130,1,3
1167,14,0,1
1168,98,1,4
1169,140,2,3
1170,194,0,1
1171,158,0,2
1172,156,0,3
1173,14,1,5
1174,28,0,0
1175,14,0,1
1176,156,0,1
1177,156,0,6
1178,158,1,3
1179,103,1,2
1180,103,1,2
1181,140,1,3
1182,81,1,0
1183,103,1,0
1184,130,0,2
1185,140,0,2
1186,158,3,1
1187,205,0,0
1188,14,4,1
1189,75,1,0
1190,179,1,0
1191,191,2,0
1192,2,0,0
1193,140,0,3
1194,2,1,1
1195,81,2,2
1196,123,1,2
1197,227,2,6
1198,130,0,1
1199,215,2,3
1200,105,1,1
1201,120,4,2
1202,67,0,5
1203,86,0,1
1204,92,2,0
1205,153,0,2
1206,90,0,1
1207,192,1,1
1208,21,1,5
1209,76,0,0
1210,100,0,1
1211,206,0,3
1212,122,0,0
1213,136,0,0
1214,83,1,1
1215,119,2,3
1216,91,0,2
1217,204,2,1
1218,47,1,2
1219,86,0,1
1220,92,0,1
1221,153,2,2
1222,149,0,4
1223,195,0,2
1224,226,0,0
1225,14,1,1
1226,31,1,1
1227,100,0,4
1228,116,1,1
1229,103,0,3
